treatment,replicate,wavenumber,absorbance
trt1,rep2,6.653210E+02,3.12E-02
trt1,rep2,6.672495E+02,3.23E-02
trt1,rep2,6.691780E+02,3.01E-02
trt1,rep2,6.711064E+02,2.89E-02
trt1,rep2,6.730349E+02,2.77E-02
trt1,rep2,6.749634E+02,2.61E-02
trt1,rep2,6.768918E+02,2.39E-02
trt1,rep2,6.788203E+02,2.24E-02
trt1,rep2,6.807488E+02,2.09E-02
trt1,rep2,6.826772E+02,1.94E-02
trt1,rep2,6.846057E+02,1.80E-02
trt1,rep2,6.865342E+02,1.77E-02
trt1,rep2,6.884626E+02,1.75E-02
trt1,rep2,6.903911E+02,1.78E-02
trt1,rep2,6.923196E+02,1.77E-02
trt1,rep2,6.942480E+02,1.71E-02
trt1,rep2,6.961765E+02,1.67E-02
trt1,rep2,6.981050E+02,1.67E-02
trt1,rep2,7.000334E+02,1.64E-02
trt1,rep2,7.019619E+02,1.62E-02
trt1,rep2,7.038904E+02,1.57E-02
trt1,rep2,7.058188E+02,1.53E-02
trt1,rep2,7.077473E+02,1.46E-02
trt1,rep2,7.096758E+02,1.44E-02
trt1,rep2,7.116042E+02,1.42E-02
trt1,rep2,7.135327E+02,1.40E-02
trt1,rep2,7.154612E+02,1.39E-02
trt1,rep2,7.173896E+02,1.40E-02
trt1,rep2,7.193181E+02,1.36E-02
trt1,rep2,7.212466E+02,1.31E-02
trt1,rep2,7.231750E+02,1.25E-02
trt1,rep2,7.251035E+02,1.19E-02
trt1,rep2,7.270320E+02,1.12E-02
trt1,rep2,7.289604E+02,1.08E-02
trt1,rep2,7.308889E+02,1.01E-02
trt1,rep2,7.328174E+02,9.57E-03
trt1,rep2,7.347458E+02,9.08E-03
trt1,rep2,7.366743E+02,8.85E-03
trt1,rep2,7.386028E+02,8.56E-03
trt1,rep2,7.405313E+02,8.56E-03
trt1,rep2,7.424597E+02,8.58E-03
trt1,rep2,7.443882E+02,8.92E-03
trt1,rep2,7.463167E+02,8.98E-03
trt1,rep2,7.482451E+02,8.89E-03
trt1,rep2,7.501736E+02,8.55E-03
trt1,rep2,7.521021E+02,7.84E-03
trt1,rep2,7.540305E+02,7.27E-03
trt1,rep2,7.559590E+02,7.20E-03
trt1,rep2,7.578875E+02,7.03E-03
trt1,rep2,7.598159E+02,6.84E-03
trt1,rep2,7.617444E+02,6.68E-03
trt1,rep2,7.636729E+02,6.79E-03
trt1,rep2,7.656013E+02,6.68E-03
trt1,rep2,7.675298E+02,6.68E-03
trt1,rep2,7.694583E+02,6.65E-03
trt1,rep2,7.713867E+02,6.48E-03
trt1,rep2,7.733152E+02,6.52E-03
trt1,rep2,7.752437E+02,6.82E-03
trt1,rep2,7.771721E+02,6.93E-03
trt1,rep2,7.791006E+02,6.91E-03
trt1,rep2,7.810291E+02,6.84E-03
trt1,rep2,7.829575E+02,6.98E-03
trt1,rep2,7.848860E+02,6.97E-03
trt1,rep2,7.868145E+02,6.91E-03
trt1,rep2,7.887429E+02,6.54E-03
trt1,rep2,7.906714E+02,6.48E-03
