treatment,replicate,wavenumber,absorbance
trt1,rep1,6.634206E+02,9.89E-02
trt1,rep1,6.653491E+02,9.90E-02
trt1,rep1,6.672777E+02,9.86E-02
trt1,rep1,6.692062E+02,9.55E-02
trt1,rep1,6.711348E+02,9.39E-02
trt1,rep1,6.730634E+02,9.28E-02
trt1,rep1,6.749919E+02,9.12E-02
trt1,rep1,6.769204E+02,8.91E-02
trt1,rep1,6.788490E+02,8.75E-02
trt1,rep1,6.807775E+02,8.61E-02
trt1,rep1,6.827061E+02,8.53E-02
trt1,rep1,6.846346E+02,8.44E-02
trt1,rep1,6.865632E+02,8.34E-02
trt1,rep1,6.884917E+02,8.22E-02
trt1,rep1,6.904203E+02,8.16E-02
trt1,rep1,6.923488E+02,8.13E-02
trt1,rep1,6.942773E+02,8.12E-02
trt1,rep1,6.962059E+02,8.09E-02
trt1,rep1,6.981345E+02,8.05E-02
trt1,rep1,7.000630E+02,7.99E-02
trt1,rep1,7.019916E+02,7.95E-02
trt1,rep1,7.039201E+02,7.89E-02
trt1,rep1,7.058486E+02,7.87E-02
trt1,rep1,7.077772E+02,7.83E-02
trt1,rep1,7.097057E+02,7.77E-02
trt1,rep1,7.116343E+02,7.70E-02
trt1,rep1,7.135629E+02,7.71E-02
trt1,rep1,7.154914E+02,7.71E-02
trt1,rep1,7.174199E+02,7.69E-02
trt1,rep1,7.193485E+02,7.63E-02
trt1,rep1,7.212770E+02,7.54E-02
trt1,rep1,7.232056E+02,7.46E-02
trt1,rep1,7.251342E+02,7.41E-02
trt1,rep1,7.270627E+02,7.36E-02
trt1,rep1,7.289912E+02,7.32E-02
trt1,rep1,7.309198E+02,7.24E-02
trt1,rep1,7.328483E+02,7.16E-02
trt1,rep1,7.347769E+02,7.12E-02
trt1,rep1,7.367054E+02,7.10E-02
trt1,rep1,7.386340E+02,7.05E-02
trt1,rep1,7.405625E+02,7.01E-02
trt1,rep1,7.424911E+02,6.99E-02
trt1,rep1,7.444196E+02,6.97E-02
trt1,rep1,7.463481E+02,6.92E-02
trt1,rep1,7.482767E+02,6.88E-02
trt1,rep1,7.502053E+02,6.83E-02
trt1,rep1,7.521338E+02,6.81E-02
trt1,rep1,7.540624E+02,6.77E-02
trt1,rep1,7.559909E+02,6.75E-02
trt1,rep1,7.579194E+02,6.71E-02
trt1,rep1,7.598480E+02,6.67E-02
trt1,rep1,7.617766E+02,6.66E-02
trt1,rep1,7.637051E+02,6.67E-02
trt1,rep1,7.656337E+02,6.63E-02
trt1,rep1,7.675622E+02,6.58E-02
trt1,rep1,7.694907E+02,6.56E-02
trt1,rep1,7.714193E+02,6.55E-02
trt1,rep1,7.733478E+02,6.54E-02
trt1,rep1,7.752764E+02,6.54E-02
trt1,rep1,7.772050E+02,6.52E-02
trt1,rep1,7.791335E+02,6.53E-02
trt1,rep1,7.810620E+02,6.55E-02
trt1,rep1,7.829906E+02,6.55E-02
trt1,rep1,7.849191E+02,6.51E-02
trt1,rep1,7.868477E+02,6.48E-02
trt1,rep1,7.887762E+02,6.44E-02
trt1,rep1,7.907048E+02,6.44E-02
trt1,rep1,7.926333E+02,6.46E-02
trt1,rep1,7.945619E+02,6.42E-02
trt1,rep1,7.964904E+02,6.36E-02
trt1,rep1,7.984189E+02,6.35E-02
trt1,rep1,8.003475E+02,6.31E-02
trt1,rep1,8.022761E+02,6.29E-02
trt1,rep1,8.042046E+02,6.28E-02
trt1,rep1,8.061332E+02,6.25E-02
trt1,rep1,8.080617E+02,6.20E-02
trt1,rep1,8.099902E+02,6.14E-02
trt1,rep1,8.119188E+02,6.11E-02
trt1,rep1,8.138474E+02,6.10E-02
